SA2_NAME_2016,population,volunteer_perc,actual,predicted,misclassified
Alexandra Hills,16346,13.23,0,0,
Belmont - Gumdale,7371,17.55,1,1,
Birkdale,14922,15.61,0,0,
Capalaba,17593,13.64,0,0,
Thorneside,3764,13.52,0,0,
Wellington Point,11581,16.5,1,1,
Cleveland,14798,16.01,1,1,
Ormiston,5795,18.13,1,1,
Redland Bay,15591,12.26,0,0,
Sheldon - Mount Cotton,7904,13.6,0,0,
Thornlands,14694,15.12,0,1,overestimated
Victoria Point,15018,14.77,0,1,overestimated
Redland Islands,9014,17.18,1,1,
Manly - Lota,7425,16.83,1,1,
Manly West,11431,16.2,1,1,
Murarrie,4118,14.08,0,0,
Tingalpa,8705,13.58,0,0,
Wakerley,8998,15.28,0,1,overestimated
Wynnum,13230,16.43,1,1,
Wynnum West - Hemmant,14792,13.01,0,0,
Bald Hills,7274,13.36,0,0,
Bridgeman Downs,8145,18.56,1,1,
Carseldine,9033,15.42,0,1,overestimated
Everton Park,8795,17.25,1,1,
McDowall,7539,18.83,1,1,
Aspley,12315,16.48,1,1,
Chermside,9319,11.92,0,0,
Chermside West,6251,17.61,1,1,
Geebung,4323,15.56,0,0,
Kedron - Gordon Park,13715,16.74,1,1,
Stafford,6513,15.32,0,1,overestimated
Stafford Heights,6855,17.15,1,1,
Wavell Heights,9785,16.57,1,1,
Boondall,9218,15.5,0,0,
Eagle Farm - Pinkenba,822,11.67,0,0,
Northgate - Virginia,6591,15.85,1,1,
Nudgee - Banyo,9618,14.4,0,0,
Nundah,12231,14.95,0,0,
Bracken Ridge,16935,14.62,0,0,
Brighton (Qld),9476,15.8,1,1,
Deagon,3674,14.64,0,0,
Sandgate - Shorncliffe,6781,18.93,1,1,
Taigum - Fitzgibbon,12155,12.76,0,0,
Zillmere,8968,11.41,0,0,
Camp Hill,11178,18.94,1,1,
Cannon Hill,5720,13.95,0,1,overestimated
Carina,11029,16.19,1,1,
Carina Heights,6547,15.56,0,0,
Carindale,15706,18.95,1,1,
