SA2_NAME_2016,predicted
Alexandra Hills,0
Belmont - Gumdale,1
Birkdale,0
Capalaba,0
Thorneside,0
Wellington Point,1
Cleveland,1
Ormiston,1
Redland Bay,0
Sheldon - Mount Cotton,0
Thornlands,1
Victoria Point,1
Redland Islands,1
Manly - Lota,1
Manly West,1
Murarrie,0
Tingalpa,0
Wakerley,1
Wynnum,1
Wynnum West - Hemmant,0
Bald Hills,0
Bridgeman Downs,1
Carseldine,1
Everton Park,1
McDowall,1
Aspley,1
Chermside,0
Chermside West,1
Geebung,0
Kedron - Gordon Park,1
Stafford,1
Stafford Heights,1
Wavell Heights,1
Boondall,0
Eagle Farm - Pinkenba,0
Northgate - Virginia,1
Nudgee - Banyo,0
Nundah,0
Bracken Ridge,0
Brighton (Qld),1
Deagon,0
Sandgate - Shorncliffe,1
Taigum - Fitzgibbon,0
Zillmere,0
Camp Hill,1
Cannon Hill,1
Carina,1
Carina Heights,0
Carindale,1
Annerley,1
Coorparoo,1
Fairfield - Dutton Park,1
Greenslopes,1
Holland Park,1
Holland Park West,1
Woolloongabba,1
Yeronga,1
Eight Mile Plains,0
Macgregor (Qld),0
Mansfield (Qld),1
Mount Gravatt,1
Rochedale - Burbank,1
Upper Mount Gravatt,0
Wishart,1
Coopers Plains,0
Moorooka,1
Robertson,0
Salisbury - Nathan,1
Tarragindi,1
Algester,0
Calamvale - Stretton,0
Pallara - Willawong,0
Parkinson - Drewvale,0
Rocklea - Acacia Ridge,0
Kuraby,0
Runcorn,0
Sunnybank,0
Sunnybank Hills,0
Jindalee - Mount Ommaney,1
Middle Park - Jamboree Heights,1
Riverhills,0
Seventeen Mile Rocks - Sinnamon Park,1
Westlake,1
Bellbowrie - Moggill,1
Brookfield - Kenmore Hills,1
Chapel Hill,1
Fig Tree Pocket,1
Kenmore,1
Pinjarra Hills - Pullenvale,1
Chelmer - Graceville,1
Corinda,1
Indooroopilly,1
Sherwood,1
St Lucia,1
Taringa,1
Enoggera,1
Keperra,1
Mitchelton,1
The Gap,1
Upper Kedron - Ferny Grove,1
Brisbane City,0
Fortitude Valley,1
Highgate Hill,1
Kangaroo Point,1
New Farm,1
South Brisbane,1
Spring Hill,0
West End,1
Balmoral,1
Bulimba,1
East Brisbane,1
Hawthorne,1
Morningside - Seven Hills,1
Norman Park,1
Albion,1
Alderley,1
Ascot,1
Clayfield,1
Grange,1
Hamilton (Qld),1
Hendra,1
Kelvin Grove - Herston,1
Newmarket,1
Newstead - Bowen Hills,1
Wilston,1
Windsor,1
Wooloowin - Lutwyche,1
Ashgrove,1
Auchenflower,1
Bardon,1
Paddington - Milton,1
Red Hill (Qld),1
Toowong,1
Brinsmead,1
Clifton Beach - Kewarra Beach,0
Freshwater - Stratford,1
Redlynch,1
Trinity Beach - Smithfield,0
Yorkeys Knob - Machans Beach,0
Bentley Park,0
Cairns City,0
Earlville - Bayview Heights,0
Edmonton,0
Gordonvale - Trinity,0
Kanimbla - Mooroobool,1
Manoora,0
Manunda,0
Mount Sheridan,0
Westcourt - Bungalow,0
White Rock,0
Whitfield - Edge Hill,1
Woree,0
Babinda,1
Innisfail,0
Johnstone,1
Tully,1
Yarrabah,0
Daintree,1
Port Douglas,0
Atherton,1
Herberton,1
Kuranda,1
Malanda - Yungaburra,1
Mareeba,1
Balonne,1
Chinchilla,1
Goondiwindi,1
Inglewood - Waggamba,1
Miles - Wandoan,1
Roma,1
Roma Region,1
Tara,1
Crows Nest - Rosalie,1
Jondaryan,1
Millmerran,1
Pittsworth,1
Wambo,1
Clifton - Greenmount,1
Southern Downs - East,1
Southern Downs - West,1
Stanthorpe,1
Stanthorpe Region,1
Warwick,1
Central Highlands - East,1
Central Highlands - West,1
Emerald,0
Berserker,0
Bouldercombe,1
Emu Park,0
Frenchville - Mount Archer,1
Glenlee - Rockyview,1
Gracemere,0
Lakes Creek,0
Mount Morgan,0
Norman Gardens,0
Park Avenue,0
Parkhurst - Kawana,0
Rockhampton - West,1
Rockhampton City,0
Rockhampton Region - East,1
Rockhampton Region - North,1
Rockhampton Region - West,1
The Range - Allenstown,1
Yeppoon,1
Banana,1
Biloela,1
Agnes Water - Miriam Vale,1
Boyne Island - Tannum Sands,1
Clinton - New Auckland,0
Gladstone,0
Gladstone Hinterland,0
Kin Kora - Sun Valley,1
Telina - Toolooa,0
West Gladstone,1
Broadbeach Waters,0
Burleigh Heads,0
Burleigh Waters,0
Mermaid Beach - Broadbeach,0
Mermaid Waters,0
Miami,0
Coolangatta,0
Currumbin - Tugun,0
Currumbin Waters,0
Elanora,0
Palm Beach,0
Arundel,0
Biggera Waters,0
Coombabah,0
Labrador,0
Paradise Point - Hollywell,0
Runaway Bay,0
